Company Name,Company Ratings,Services,Advantage_DisAdv,Details
Hero MotoCorp,4.1,Automobile | 5k-10k Employees | Public | 39 years old | Gurgaon/Gurugram +294 more,"['Work Life Balance, Job Security, Company Culture']","['3.7k Reviews', '14k Salaries', '231 Interviews', '7 Jobs', '573 Benefits', '5 Photos']"
L&T Construction,4.0,Engineering & Construction | 10k-50k Employees | Public | 79 years old | Chennai +309 more,"['Job Security, Skill Development / Learning, Salary & Benefits']","['3.7k Reviews', '13.1k Salaries', '393 Interviews', '-- Jobs', '764 Benefits', '7 Photos']"
Hewlett-Packard Enterprise,4.3,Emerging Technologies | 10k-50k Employees | Forbes Global 2000 | 8 years old | Houston +91 more,"['Company Culture, Work Life Balance, Job Security']","['3.7k Reviews', '32.1k Salaries', '165 Interviews', '53 Jobs', '609 Benefits', '8 Photos']"
Omega Healthcare,3.7,IT Services & Consulting | 5k-10k Employees | 19 years old | Florida +32 more,[],"['3.6k Reviews', '19.1k Salaries', '189 Interviews', '133 Jobs', '384 Benefits', '4 Photos']"
Mahindra & Mahindra Financial Services,4.3,NBFC | 10k-50k Employees | Public | 32 years old | Mumbai +610 more,"['Job Security, Company Culture, Skill Development / Learning']","['3.6k Reviews', '10.2k Salaries', '89 Interviews', '54 Jobs', '499 Benefits', '2 Photos']"
Megha Engineering & Infrastructures,4.1,Engineering & Construction | 5k-10k Employees | Conglomerate | 34 years old | Hyderabad/Secunderabad +263 more,"['Job Security, Skill Development / Learning, Work Life Balance']","['3.6k Reviews', '13.7k Salaries', '260 Interviews', '26 Jobs', '536 Benefits', '3 Photos']"
Cyient,3.7,IT Services & Consulting | 10k-50k Employees | Public | 32 years old | Hyderabad/Secunderabad +29 more,['Job Security'],"['3.5k Reviews', '24.6k Salaries', '160 Interviews', '269 Jobs', '460 Benefits', '3 Photos']"
Bajaj Allianz Life Insurance,4.1,Insurance | 10k-50k Employees | 22 years old | Pune +468 more,"['Salary & Benefits, Work Life Balance, Job Security']","['3.5k Reviews', '14.1k Salaries', '180 Interviews', '32 Jobs', '466 Benefits', '3 Photos']"
D Mart,3.9,Retail | 10k-50k Employees | Fortune India 500 | 23 years old | Mumbai +197 more,"['Job Security, Company Culture']","['3.4k Reviews', '13.4k Salaries', '219 Interviews', '73 Jobs', '461 Benefits', '-- Photos']"
Hyundai Motor,4.3,Automobile | 10k-50k Employees | Fortune India 500 | 56 years old | Seoul +251 more,"['Job Security, Salary & Benefits, Skill Development / Learning']","['3.4k Reviews', '13.1k Salaries', '166 Interviews', '22 Jobs', '540 Benefits', '8 Photos']"
TVS Motor,4.0,Automobile | 5k-10k Employees | Public | 44 years old | Chennai +257 more,"['Skill Development / Learning, Salary & Benefits, Company Culture']","['3.4k Reviews', '13.8k Salaries', '185 Interviews', '39 Jobs', '524 Benefits', '4 Photos']"
BigBasket,4.0,Internet | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +104 more,"['Job Security, Skill Development / Learning, Company Culture']","['3.4k Reviews', '14.5k Salaries', '229 Interviews', '24 Jobs', '415 Benefits', '23 Photos']"
Indiamart Intermesh,3.6,Internet | 1k-5k Employees | 27 years old | Noida +126 more,[],"['3.4k Reviews', '16.3k Salaries', '333 Interviews', '871 Jobs', '422 Benefits', '1 Photos']"
Reliance Communications,3.9,Telecom | 201-500 Employees | Public | 21 years old | Navi Mumbai +406 more,['Skill Development / Learning'],"['3.4k Reviews', '13.2k Salaries', '62 Interviews', '2 Jobs', '364 Benefits', '-- Photos']"
Atos Syntel,3.5,IT Services & Consulting | 5k-10k Employees | 43 years old | Troy +17 more,['Promotions / Appraisal'],"['3.3k Reviews', '34.2k Salaries', '164 Interviews', '37 Jobs', '493 Benefits', '7 Photos']"
Bosch,4.3,Auto Components | 10k-50k Employees | Public | 137 years old | Gerlingen +92 more,"['Company Culture, Work Life Balance, Skill Development / Learning']","['3.3k Reviews', '17.9k Salaries', '196 Interviews', '10 Jobs', '584 Benefits', '10 Photos']"
Manappuram Finance,3.9,NBFC | 10k-50k Employees | Public | 74 years old | Thrissur/Trichur +449 more,"['Skill Development / Learning, Promotions / Appraisal']","['3.3k Reviews', '7.5k Salaries', '89 Interviews', '12 Jobs', '256 Benefits', '1 Photos']"
Oyo Rooms,3.4,Hospitality | 1k-5k Employees | Indian Unicorn | 10 years old | Gurgaon +109 more,['Job Security'],"['3.3k Reviews', '24.9k Salaries', '152 Interviews', '170 Jobs', '382 Benefits', '13 Photos']"
Bosch Global Software Technologies,4.2,Software Product | 10k-50k Employees | 33 years old | Gerlingen +24 more,"['Job Security, Work Life Balance, Company Culture']","['3.2k Reviews', '30.3k Salaries', '189 Interviews', '4 Jobs', '622 Benefits', '18 Photos']"
SBI Cards & Payment Services,3.7,1k-5k Employees | 25 years old | Gurgaon/Gurugram +304 more,[],"['3.2k Reviews', '15.7k Salaries', '157 Interviews', '66 Jobs', '337 Benefits', '7 Photos']"
Cummins,4.3,Auto Components | 5k-10k Employees | Fortune India 500 | 61 years old | Columbus +94 more,"['Company Culture, Work Life Balance, Skill Development / Learning']","['3.2k Reviews', '14.2k Salaries', '167 Interviews', '11 Jobs', '455 Benefits', '4 Photos']"
BNY Mellon,4.1,Investment Banking / Venture Capital / Private Equity | 10k-50k Employees | Forbes Global 2000 | 19 years old | New York City +14 more,"['Company Culture, Work Life Balance, Job Security']","['3.2k Reviews', '26.2k Salaries', '171 Interviews', '684 Jobs', '523 Benefits', '-- Photos']"
Coforge,3.6,IT Services & Consulting | 10k-50k Employees | Public | 19 years old | Noida +80 more,[],"['3.2k Reviews', '29.1k Salaries', '232 Interviews', '171 Jobs', '268 Benefits', '7 Photos']"
Nagarro,4.3,IT Services & Consulting | 10k-50k Employees | 27 years old | Munich +33 more,"['Company Culture, Work Life Balance, Job Security']","['3.2k Reviews', '18.6k Salaries', '392 Interviews', '67 Jobs', '1.1k Benefits', '10 Photos']"
IQVIA,4.1,Clinical Research | 10k-50k Employees | Forbes Global 2000 | 41 years old | Durham +38 more,"['Job Security, Company Culture, Work Life Balance']","['3.1k Reviews', '23k Salaries', '252 Interviews', '39 Jobs', '519 Benefits', '-- Photos']"
SMFG India Credit,4.1,NBFC | 10k-50k Employees | 16 years old | Mumbai +461 more,"['Salary & Benefits, Job Security, Skill Development / Learning']","['3.1k Reviews', '10.3k Salaries', '84 Interviews', '42 Jobs', '340 Benefits', '8 Photos']"
Virtusa Consulting Services,3.8,IT Services & Consulting | 10k-50k Employees | 27 years old | Southborough +28 more,[],"['3.1k Reviews', '43k Salaries', '267 Interviews', '114 Jobs', '315 Benefits', '14 Photos']"
Future Group,4.3,Retail | 10k-50k Employees | Conglomerate | 10 years old | Mumbai +197 more,"['Skill Development / Learning, Company Culture, Work Satisfaction']","['3.1k Reviews', '12.6k Salaries', '63 Interviews', '25 Jobs', '415 Benefits', '1 Photos']"
GlobalLogic,3.8,IT Services & Consulting | 10k-50k Employees | 23 years old | San Jose +26 more,"['Work Life Balance, Job Security, Company Culture']","['3.1k Reviews', '28.2k Salaries', '269 Interviews', '78 Jobs', '505 Benefits', '11 Photos']"
ICICI Lombard General Insurance Company,3.8,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +234 more,['Job Security'],"['3.1k Reviews', '15.7k Salaries', '146 Interviews', '140 Jobs', '360 Benefits', '5 Photos']"
Intelenet Global Services,3.7,BPO | 10k-50k Employees | 23 years old | Mumbai +57 more,[],"['3.1k Reviews', '9.7k Salaries', '33 Interviews', '-- Jobs', '480 Benefits', '5 Photos']"
Amdocs,4.0,Software Product | 10k-50k Employees | Forbes Global 2000 | 41 years old | Chesterfield +14 more,"['Company Culture, Job Security']","['3.1k Reviews', '30.2k Salaries', '305 Interviews', '11 Jobs', '601 Benefits', '3 Photos']"
UST,3.9,IT Services & Consulting | 10k-50k Employees | 22 years old | Aliso Viejo +33 more,"['Work Life Balance, Company Culture']","['3.1k Reviews', '32.2k Salaries', '238 Interviews', '151 Jobs', '404 Benefits', '11 Photos']"
Schneider Electric,4.1,Industrial Automation | 10k-50k Employees | Forbes Global 2000 | 24 years old | Paris +97 more,"['Company Culture, Skill Development / Learning, Job Security']","['3.1k Reviews', '19k Salaries', '186 Interviews', '189 Jobs', '455 Benefits', '-- Photos']"
CBRE,4.2,Real Estate | 10k-50k Employees | Forbes Global 2000 | 117 years old | Los Angeles +64 more,"['Skill Development / Learning, Job Security, Company Culture']","['3.1k Reviews', '14.9k Salaries', '133 Interviews', '99 Jobs', '444 Benefits', '11 Photos']"
Samsung,4.1,5k-10k Employees | Public | 85 years old | Seoul +396 more,"['Skill Development / Learning, Job Security, Work Life Balance']","['3k Reviews', '15.8k Salaries', '285 Interviews', '158 Jobs', '511 Benefits', '5 Photos']"
Dell,4.1,Consumer Electronics & Appliances | 10k-50k Employees | Forbes Global 2000 | 39 years old | Round Rock +86 more,"['Work Life Balance, Company Culture, Skill Development / Learning']","['3k Reviews', '24.1k Salaries', '219 Interviews', '64 Jobs', '531 Benefits', '24 Photos']"
JBM Group,4.0,Auto Components | 1k-5k Employees | Public | 40 years old | Gurgaon/Gurugram +79 more,"['Job Security, Skill Development / Learning']","['3k Reviews', '13k Salaries', '165 Interviews', '1 Jobs', '352 Benefits', '10 Photos']"
State Bank of India,3.8,Banking | 1 Lakh+ Employees | Fortune India 500 | 217 years old | Mumbai +437 more,['Job Security'],"['3k Reviews', '10.1k Salaries', '143 Interviews', '231 Jobs', '386 Benefits', '1 Photos']"
Ecom Express,4.0,Logistics | 10k-50k Employees | 11 years old | Gurgaon +577 more,"['Skill Development / Learning, Work Life Balance, Company Culture']","['3k Reviews', '8.4k Salaries', '123 Interviews', '55 Jobs', '319 Benefits', '8 Photos']"
Cholamandalam Investment & Finance,4.1,NBFC | 5k-10k Employees | Fortune India 500 | 45 years old | Chennai +569 more,"['Salary & Benefits, Job Security, Skill Development / Learning']","['3k Reviews', '9.2k Salaries', '95 Interviews', '15 Jobs', '292 Benefits', '13 Photos']"
Swiggy,3.9,Internet | 5k-10k Employees | Indian Unicorn | 9 years old | Bangalore +160 more,['Salary & Benefits'],"['2.9k Reviews', '17.7k Salaries', '217 Interviews', '372 Jobs', '339 Benefits', '10 Photos']"
L&T Technology Services,3.4,IT Services & Consulting | 10k-50k Employees | Public | 11 years old | Vadodara/Baroda +36 more,"['Promotions / Appraisal, Salary & Benefits']","['2.9k Reviews', '27.9k Salaries', '225 Interviews', '2 Jobs', '407 Benefits', '3 Photos']"
Bajaj Auto,3.8,Automobile | 5k-10k Employees | Public | 78 years old | Pune +222 more,[],"['2.9k Reviews', '12.6k Salaries', '166 Interviews', '1 Jobs', '505 Benefits', '17 Photos']"
Ekart Logistics,4.1,Logistics | 5k-10k Employees | 14 years old | San Francisco +508 more,"['Skill Development / Learning, Salary & Benefits, Company Culture']","['2.9k Reviews', '7.4k Salaries', '186 Interviews', '-- Jobs', '348 Benefits', '4 Photos']"
Equitas Small Finance Bank,4.1,Banking | 10k-50k Employees | Fortune India 500 | 16 years old | Chennai +322 more,"['Job Security, Work Life Balance, Company Culture']","['2.9k Reviews', '10.9k Salaries', '97 Interviews', '11 Jobs', '386 Benefits', '2 Photos']"
SBI Life Insurance Company,3.8,Insurance | 10k-50k Employees | 22 years old | Mumbai +489 more,['Job Security'],"['2.9k Reviews', '9.9k Salaries', '136 Interviews', '6 Jobs', '317 Benefits', '-- Photos']"
Nagarjuna Construction Company,4.1,Engineering & Construction | 5k-10k Employees | Public | 25 years old | Hyderabad/Secunderabad +200 more,"['Job Security, Skill Development / Learning, Company Culture']","['2.9k Reviews', '10.4k Salaries', '178 Interviews', '3 Jobs', '405 Benefits', '6 Photos']"
Optum,4.0,Healthcare | 10k-50k Employees | 46 years old | Prairie +25 more,"['Job Security, Work Life Balance, Company Culture']","['2.9k Reviews', '20.8k Salaries', '238 Interviews', '39 Jobs', '522 Benefits', '4 Photos']"
KEC International,4.1,Engineering & Construction | 5k-10k Employees | Public | 78 years old | Mumbai +246 more,"['Job Security, Skill Development / Learning, Company Culture']","['2.9k Reviews', '10.4k Salaries', '179 Interviews', '7 Jobs', '436 Benefits', '5 Photos']"
Viatris,4.3,Pharma | 10k-50k Employees | Forbes Global 2000 | 62 years old | Canonsburg +65 more,"['Salary & Benefits, Job Security, Work Life Balance']","['2.8k Reviews', '14.1k Salaries', '91 Interviews', '6 Jobs', '499 Benefits', '10 Photos']"
Samvardhana Motherson Group,3.8,Auto Components | 1k-5k Employees | Public | 37 years old | Noida +69 more,['Job Security'],"['2.8k Reviews', '13.9k Salaries', '150 Interviews', '67 Jobs', '400 Benefits', '-- Photos']"
Aditya Birla Fashion and Retail,4.2,Retail | 10k-50k Employees | Fortune India 500 | 8 years old | Mumbai +214 more,"['Job Security, Skill Development / Learning, Company Culture']","['2.8k Reviews', '11.4k Salaries', '102 Interviews', '50 Jobs', '416 Benefits', '8 Photos']"
Godrej & Boyce Manufacturing,3.9,Engineering & Construction | 10k-50k Employees | Fortune India 500 | 126 years old | Mumbai +125 more,['Job Security'],"['2.8k Reviews', '16.5k Salaries', '117 Interviews', '50 Jobs', '410 Benefits', '1 Photos']"
Muthoot Fincorp,4.0,NBFC | 10k-50k Employees | Conglomerate | 136 years old | Trivandrum/Thiruvananthapuram +509 more,"['Job Security, Skill Development / Learning, Work Life Balance']","['2.8k Reviews', '7.8k Salaries', '80 Interviews', '64 Jobs', '272 Benefits', '5 Photos']"
Royal Enfield,4.2,Automobile | 10k-50k Employees | 122 years old | Gurgaon/Gurugram +276 more,"['Skill Development / Learning, Company Culture, Work Satisfaction']","['2.8k Reviews', '14k Salaries', '94 Interviews', '11 Jobs', '397 Benefits', '23 Photos']"
Piramal Capital Housing Finance,4.3,NBFC | 1k-5k Employees | 3 years old | Mumbai +301 more,"['Company Culture, Skill Development / Learning, Work Life Balance']","['2.8k Reviews', '8.7k Salaries', '120 Interviews', '21 Jobs', '260 Benefits', '9 Photos']"
Tata Communications,4.1,Telecom | 5k-10k Employees | Public | 37 years old | Mumbai +83 more,"['Job Security, Company Culture, Skill Development / Learning']","['2.8k Reviews', '21.2k Salaries', '157 Interviews', '405 Jobs', '411 Benefits', '11 Photos']"
L&T Finance,4.0,NBFC | 10k-50k Employees | Public | 29 years old | Mumbai +442 more,"['Salary & Benefits, Skill Development / Learning']","['2.7k Reviews', '10.7k Salaries', '72 Interviews', '-- Jobs', '257 Benefits', '19 Photos']"
LG Electronics,3.9,Consumer Electronics & Appliances | 10k-50k Employees | Public | 65 years old | Seoul +228 more,"['Job Security, Skill Development / Learning']","['2.7k Reviews', '10.1k Salaries', '137 Interviews', '6 Jobs', '389 Benefits', '6 Photos']"
John Deere,4.3,IT Services & Consulting | 5k-10k Employees | Fortune India 500 | 22 years old | Moline +109 more,"['Company Culture, Skill Development / Learning, Work Life Balance']","['2.7k Reviews', '13.3k Salaries', '136 Interviews', '9 Jobs', '411 Benefits', '9 Photos']"
Intas Pharmaceuticals,4.2,Pharma | 10k-50k Employees | Fortune India 500 | 23 years old | Ahmedabad +109 more,"['Job Security, Work Life Balance, Salary & Benefits']","['2.7k Reviews', '14.1k Salaries', '123 Interviews', '44 Jobs', '360 Benefits', '8 Photos']"
Whitehat jr,3.6,EdTech | 5k-10k Employees | Startup | 5 years old | Mumbai +49 more,['Job Security'],"['2.7k Reviews', '9.4k Salaries', '278 Interviews', '514 Jobs', '944 Benefits', '2 Photos']"
Thermax Limited,4.2,Industrial Machinery | 1k-5k Employees | Public | 57 years old | Pune +153 more,"['Job Security, Company Culture, Skill Development / Learning']","['2.6k Reviews', '11.6k Salaries', '137 Interviews', '-- Jobs', '368 Benefits', '4 Photos']"
Varun Beverages,4.0,Beverage | 5k-10k Employees | Public | 28 years old | Gurgaon/Gurugram +248 more,"['Job Security, Salary & Benefits']","['2.6k Reviews', '9k Salaries', '127 Interviews', '37 Jobs', '318 Benefits', '13 Photos']"
Hetero Drugs,3.8,Pharma | 1k-5k Employees | 30 years old | Hyderabad/Secunderabad +36 more,['Job Security'],"['2.6k Reviews', '13.3k Salaries', '136 Interviews', '15 Jobs', '322 Benefits', '2 Photos']"
Ford Motor,4.5,Automobile | 5k-10k Employees | Public | 120 years old | Dearborn +103 more,"['Company Culture, Work Life Balance, Salary & Benefits']","['2.6k Reviews', '13.9k Salaries', '70 Interviews', '65 Jobs', '391 Benefits', '5 Photos']"
Abbott Healthcare,4.1,Pharma | 10k-50k Employees | Public | 32 years old | Illinois City +164 more,"['Company Culture, Salary & Benefits, Work Life Balance']","['2.6k Reviews', '10.5k Salaries', '97 Interviews', '162 Jobs', '356 Benefits', '8 Photos']"
Deutsche Bank,4.1,Banking | 10k-50k Employees | Fortune India 500 | 153 years old | Frankfurt +34 more,"['Job Security, Company Culture, Work Life Balance']","['2.6k Reviews', '28.3k Salaries', '198 Interviews', '1k Jobs', '388 Benefits', '79 Photos']"
Sodexo,4.1,Facility Management Services | 10k-50k Employees | Forbes Global 2000 | 15 years old | Issy les Moulineaux +122 more,"['Skill Development / Learning, Company Culture, Work Life Balance']","['2.6k Reviews', '9.7k Salaries', '92 Interviews', '102 Jobs', '370 Benefits', '5 Photos']"
Randstad,3.9,1k-5k Employees | Conglomerate | 31 years old | Chennai +231 more,[],"['2.6k Reviews', '12.3k Salaries', '155 Interviews', '2.3k Jobs', '328 Benefits', '2 Photos']"
Subros,3.9,Auto Components | 1k-5k Employees | Public | 38 years old | Noida +47 more,"['Job Security, Skill Development / Learning, Company Culture']","['2.6k Reviews', '12.1k Salaries', '97 Interviews', '3 Jobs', '373 Benefits', '4 Photos']"
Havells,4.1,Electrical Equipment | 5k-10k Employees | Public | 40 years old | Noida +159 more,"['Salary & Benefits, Work Life Balance, Company Culture']","['2.6k Reviews', '11.4k Salaries', '114 Interviews', '83 Jobs', '309 Benefits', '4 Photos']"
Macleods Pharmaceuticals,3.8,Pharma | 10k-50k Employees | Public | 37 years old | Mumbai +84 more,['Job Security'],"['2.6k Reviews', '12.8k Salaries', '104 Interviews', '20 Jobs', '329 Benefits', '-- Photos']"
UnitedHealth,4.2,Healthcare | 10k-50k Employees | Forbes Global 2000 | 46 years old | Minnetonka +14 more,"['Job Security, Work Life Balance, Company Culture']","['2.5k Reviews', '23.2k Salaries', '62 Interviews', '10 Jobs', '428 Benefits', '-- Photos']"
VE Commercial Vehicles,4.0,Automobile | 1k-5k Employees | 15 years old | Gurgaon/Gurugram +120 more,"['Job Security, Skill Development / Learning']","['2.5k Reviews', '12k Salaries', '124 Interviews', '7 Jobs', '342 Benefits', '2 Photos']"
American Express,4.3,Financial Services | 10k-50k Employees | Forbes Global 2000 | 173 years old | New York City +39 more,"['Company Culture, Work Life Balance, Job Security']","['2.5k Reviews', '18.7k Salaries', '199 Interviews', '109 Jobs', '424 Benefits', '5 Photos']"
Automatic Data Processing (ADP),4.1,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 74 years old | New Jersey +18 more,"['Job Security, Company Culture, Work Life Balance']","['2.5k Reviews', '19k Salaries', '128 Interviews', '33 Jobs', '453 Benefits', '12 Photos']"
CARS24,3.6,Internet | 5k-10k Employees | Indian Unicorn | 8 years old | Gurgaon +140 more,[],"['2.5k Reviews', '11.3k Salaries', '203 Interviews', '307 Jobs', '409 Benefits', '10 Photos']"
Persistent Systems,3.9,IT Services & Consulting | 10k-50k Employees | Public | 33 years old | Pune +21 more,"['Company Culture, Work Life Balance, Skill Development / Learning']","['2.5k Reviews', '26.8k Salaries', '278 Interviews', '33 Jobs', '361 Benefits', '-- Photos']"
Pidilite Industries,4.3,Chemicals | 5k-10k Employees | Public | 64 years old | Mumbai +208 more,"['Job Security, Company Culture, Work Life Balance']","['2.4k Reviews', '8.7k Salaries', '117 Interviews', '31 Jobs', '356 Benefits', '1 Photos']"
Team Lease,3.9,Recruitment | 1k-5k Employees | Public | 7 years old | Bangalore/Bengaluru +268 more,[],"['2.4k Reviews', '13.5k Salaries', '118 Interviews', '250 Jobs', '215 Benefits', '2 Photos']"
Atos,3.8,IT Services & Consulting | 201-500 Employees | Forbes Global 2000 | 26 years old | Vilnius +37 more,"['Work Life Balance, Job Security']","['2.4k Reviews', '25.6k Salaries', '162 Interviews', '6 Jobs', '343 Benefits', '9 Photos']"
Bharat Electronics,4.1,Consumer Electronics & Appliances | 5k-10k Employees | Fortune India 500 | 69 years old | Bangalore/Bengaluru +41 more,"['Work Life Balance, Company Culture, Skill Development / Learning']","['2.4k Reviews', '11.1k Salaries', '141 Interviews', '-- Jobs', '309 Benefits', '-- Photos']"
Cgi Group,4.2,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 47 years old | Montreal +16 more,"['Job Security, Company Culture, Work Life Balance']","['2.4k Reviews', '29.8k Salaries', '151 Interviews', '225 Jobs', '390 Benefits', '4 Photos']"
Alkem Laboratories,3.9,Pharma | 10k-50k Employees | Public | 50 years old | Mumbai +139 more,['Salary & Benefits'],"['2.4k Reviews', '8.7k Salaries', '107 Interviews', '17 Jobs', '326 Benefits', '-- Photos']"
Indian Air Force,4.6,Defence & Aerospace | 1 Lakh+ Employees | 91 years old | New Delhi +108 more,"['Job Security, Skill Development / Learning, Salary & Benefits']","['2.4k Reviews', '5.2k Salaries', '30 Interviews', '-- Jobs', '353 Benefits', '1 Photos']"
Alembic Pharmaceuticals,4.0,Pharma | 10k-50k Employees | Public | 116 years old | Vadodara/Baroda +131 more,"['Salary & Benefits, Work Life Balance']","['2.4k Reviews', '12.7k Salaries', '141 Interviews', '67 Jobs', '376 Benefits', '9 Photos']"
Wipro Infotech,4.1,IT Services & Consulting | 1 Lakh+ Employees (Global) | MNC | 78 years old | Bangalore +116 more,"['Job Security, Skill Development / Learning, Company Culture']","['2.4k Reviews', '18.6k Salaries', '96 Interviews', '-- Jobs', '287 Benefits', '-- Photos']"
Hindalco Industries,4.2,Metals & Mining | 10k-50k Employees | Public | 65 years old | Mumbai +74 more,"['Job Security, Skill Development / Learning, Company Culture']","['2.4k Reviews', '9.2k Salaries', '112 Interviews', '5 Jobs', '318 Benefits', '3 Photos']"
Publicis Sapient,3.6,IT Services & Consulting | 10k-50k Employees | 33 years old | New York +18 more,[],"['2.4k Reviews', '24.6k Salaries', '280 Interviews', '188 Jobs', '380 Benefits', '16 Photos']"
Hindustan Coca Cola Beverages,4.3,Beverage | 5k-10k Employees | 26 years old | Bangalore +196 more,"['Skill Development / Learning, Job Security, Company Culture']","['2.4k Reviews', '7.2k Salaries', '78 Interviews', '69 Jobs', '371 Benefits', '1 Photos']"
Wipro Consumer Care & Lighting,3.8,FMCG | 1k-5k Employees | 78 years old | Bangalore/Bengaluru +85 more,['Job Security'],"['2.4k Reviews', '2.7k Salaries', '39 Interviews', '31 Jobs', '272 Benefits', '-- Photos']"
DCB Bank,3.9,Banking | 5k-10k Employees | Fortune India 500 | 93 years old | Mumbai +291 more,"['Work Life Balance, Job Security, Company Culture']","['2.4k Reviews', '8.4k Salaries', '115 Interviews', '203 Jobs', '245 Benefits', '1 Photos']"
Vishal Mega Mart,3.8,Retail | 10k-50k Employees | 15 years old | Gurgaon/Gurugram +299 more,['Salary & Benefits'],"['2.3k Reviews', '6.7k Salaries', '105 Interviews', '7 Jobs', '271 Benefits', '1 Photos']"
Axis Direct,3.9,Financial Services | 1k-5k Employees | 12 years old | San Mateo +267 more,['Skill Development / Learning'],"['2.3k Reviews', '7.6k Salaries', '56 Interviews', '19 Jobs', '222 Benefits', '-- Photos']"
R1 RCM,3.9,BPO | 5k-10k Employees | 20 years old | Murray +22 more,"['Job Security, Company Culture, Work Life Balance']","['2.3k Reviews', '14.1k Salaries', '168 Interviews', '40 Jobs', '329 Benefits', '13 Photos']"
Access Healthcare,3.9,IT Services & Consulting | 5k-10k Employees | 12 years old | Dallas +25 more,"['Job Security, Company Culture']","['2.3k Reviews', '16.4k Salaries', '128 Interviews', '81 Jobs', '264 Benefits', '1 Photos']"
Glenmark Pharmaceuticals,4.0,Pharma | 10k-50k Employees | Public | 46 years old | Mumbai +122 more,"['Skill Development / Learning, Job Security, Company Culture']","['2.3k Reviews', '10.9k Salaries', '79 Interviews', '27 Jobs', '315 Benefits', '-- Photos']"
ABB Group,4.1,Electrical Equipment | 1k-5k Employees | Public | 35 years old | Zurich +92 more,"['Job Security, Work Life Balance, Company Culture']","['2.3k Reviews', '14.4k Salaries', '117 Interviews', '-- Jobs', '339 Benefits', '6 Photos']"
